fREQUENCY/hZ;r/oHM;i/oHM
1,00E+04;4,68E-03;-6,73E-03
8,92E+03;4,69E-03;-5,97E-03
7,95E+03;4,68E-03;-5,31E-03
7,09E+03;4,67E-03;-4,71E-03
6,32E+03;4,70E-03;-4,18E-03
5,63E+03;4,69E-03;-3,69E-03
5,02E+03;4,69E-03;-3,25E-03
4,48E+03;4,69E-03;-2,86E-03
3,99E+03;4,70E-03;-2,51E-03
3,56E+03;4,71E-03;-2,19E-03
3,17E+03;4,72E-03;-1,91E-03
2,83E+03;4,74E-03;-1,64E-03
2,52E+03;4,75E-03;-1,41E-03
2,25E+03;4,77E-03;-1,19E-03
2,00E+03;4,79E-03;-9,93E-04
1,79E+03;4,80E-03;-8,16E-04
1,59E+03;4,81E-03;-6,49E-04
1,42E+03;4,84E-03;-5,02E-04
1,27E+03;4,87E-03;-3,60E-04
1,13E+03;4,89E-03;-2,12E-04
1,01E+03;4,91E-03;-6,48E-05
8,97E+02;4,88E-03;9,07E-05
8,00E+02;4,91E-03;2,05E-04
7,13E+02;4,96E-03;3,08E-04
6,36E+02;4,99E-03;4,19E-04
5,67E+02;5,03E-03;5,27E-04
5,05E+02;5,07E-03;6,36E-04
4,51E+02;5,11E-03;7,51E-04
4,02E+02;5,16E-03;8,49E-04
3,58E+02;5,22E-03;9,56E-04
3,19E+02;5,28E-03;1,08E-03
2,85E+02;5,35E-03;1,21E-03
2,54E+02;5,41E-03;1,34E-03
2,26E+02;5,50E-03;1,50E-03
2,02E+02;5,57E-03;1,65E-03
1,80E+02;5,65E-03;1,79E-03
1,60E+02;5,78E-03;1,98E-03
1,43E+02;5,90E-03;2,12E-03
1,27E+02;6,04E-03;2,31E-03
1,14E+02;6,19E-03;2,45E-03
1,01E+02;6,36E-03;2,69E-03
9,03E+01;6,59E-03;2,91E-03
8,05E+01;6,85E-03;3,10E-03
7,18E+01;7,09E-03;3,27E-03
6,40E+01;7,43E-03;3,44E-03
5,69E+01;7,90E-03;3,69E-03
5,05E+01;8,20E-03;3,86E-03
4,47E+01;8,67E-03;4,02E-03
3,94E+01;9,08E-03;4,12E-03
3,46E+01;9,54E-03;4,15E-03
3,03E+01;1,00E-02;4,21E-03
2,64E+01;1,05E-02;4,22E-03
2,30E+01;1,10E-02;4,25E-03
1,99E+01;1,14E-02;4,07E-03
1,71E+01;1,20E-02;4,05E-03
1,47E+01;1,25E-02;4,01E-03
1,25E+01;1,28E-02;3,78E-03
1,06E+01;1,33E-02;3,78E-03
8,98E+00;1,38E-02;3,45E-03
7,53E+00;1,40E-02;3,19E-03
6,27E+00;1,43E-02;3,16E-03
5,18E+00;1,46E-02;3,08E-03
4,25E+00;1,49E-02;2,89E-03
3,45E+00;1,54E-02;3,05E-03
2,78E+00;1,58E-02;3,05E-03
2,21E+00;1,62E-02;2,86E-03
1,74E+00;1,68E-02;2,59E-03
1,36E+00;1,73E-02;2,30E-03
1,04E+00;1,78E-02;1,94E-03
7,89E-01;1,80E-02;1,39E-03
5,88E-01;1,82E-02;1,03E-03
4,32E-01;1,83E-02;7,03E-04
3,12E-01;1,82E-02;3,38E-04
2,22E-01;1,83E-02;1,99E-04
1,55E-01;1,80E-02;-1,18E-04
1,07E-01;1,80E-02;-1,08E-04
7,34E-02;1,80E-02;-1,82E-04
5,00E-02;1,78E-02;-1,76E-04
