fREQUENCY/hZ;r/oHM;i/oHM
1,00E+04;4,60E-03;-8,67E-03
8,92E+03;4,61E-03;-7,71E-03
7,95E+03;4,64E-03;-6,92E-03
7,09E+03;4,63E-03;-6,16E-03
6,32E+03;4,64E-03;-5,45E-03
5,63E+03;4,65E-03;-4,83E-03
5,02E+03;4,65E-03;-4,28E-03
4,48E+03;4,66E-03;-3,78E-03
3,99E+03;4,67E-03;-3,32E-03
3,56E+03;4,68E-03;-2,92E-03
3,17E+03;4,69E-03;-2,55E-03
2,83E+03;4,70E-03;-2,22E-03
2,52E+03;4,71E-03;-1,92E-03
2,25E+03;4,72E-03;-1,65E-03
2,00E+03;4,75E-03;-1,40E-03
1,79E+03;4,76E-03;-1,18E-03
1,59E+03;4,78E-03;-9,78E-04
1,42E+03;4,81E-03;-8,03E-04
1,27E+03;4,82E-03;-6,16E-04
1,13E+03;4,85E-03;-4,52E-04
1,01E+03;4,88E-03;-2,84E-04
8,97E+02;4,85E-03;-9,49E-05
8,00E+02;4,88E-03;3,74E-05
7,13E+02;4,92E-03;1,62E-04
6,36E+02;4,96E-03;2,87E-04
5,67E+02;5,00E-03;4,02E-04
5,05E+02;5,04E-03;5,26E-04
4,51E+02;5,09E-03;6,46E-04
4,02E+02;5,15E-03;7,54E-04
3,58E+02;5,18E-03;8,88E-04
3,19E+02;5,24E-03;1,00E-03
2,85E+02;5,31E-03;1,14E-03
2,54E+02;5,36E-03;1,27E-03
2,26E+02;5,43E-03;1,42E-03
2,02E+02;5,55E-03;1,58E-03
1,80E+02;5,64E-03;1,73E-03
1,60E+02;5,75E-03;1,89E-03
1,43E+02;5,89E-03;2,05E-03
1,27E+02;6,03E-03;2,22E-03
1,14E+02;6,18E-03;2,43E-03
1,01E+02;6,36E-03;2,64E-03
9,03E+01;6,56E-03;2,81E-03
8,05E+01;6,81E-03;3,05E-03
7,18E+01;7,07E-03;3,19E-03
6,40E+01;7,39E-03;3,36E-03
5,69E+01;7,85E-03;3,55E-03
5,05E+01;8,15E-03;3,66E-03
4,47E+01;8,56E-03;3,83E-03
3,94E+01;8,99E-03;3,91E-03
3,46E+01;9,41E-03;3,97E-03
3,03E+01;9,87E-03;4,13E-03
2,64E+01;1,03E-02;4,00E-03
2,30E+01;1,07E-02;3,94E-03
1,99E+01;1,12E-02;3,86E-03
1,71E+01;1,18E-02;3,80E-03
1,47E+01;1,21E-02;3,70E-03
1,25E+01;1,25E-02;3,52E-03
1,06E+01;1,28E-02;3,44E-03
8,98E+00;1,32E-02;3,10E-03
7,53E+00;1,35E-02;2,95E-03
6,27E+00;1,37E-02;2,90E-03
5,18E+00;1,41E-02;2,84E-03
4,25E+00;1,43E-02;2,66E-03
3,45E+00;1,47E-02;2,69E-03
2,78E+00;1,50E-02;2,79E-03
2,21E+00;1,56E-02;2,53E-03
1,74E+00;1,60E-02;2,32E-03
1,36E+00;1,65E-02;2,05E-03
1,04E+00;1,69E-02;1,86E-03
7,89E-01;1,73E-02;1,25E-03
5,88E-01;1,74E-02;8,98E-04
4,32E-01;1,73E-02;5,90E-04
3,12E-01;1,73E-02;3,51E-04
2,22E-01;1,74E-02;1,19E-04
1,55E-01;1,72E-02;-4,59E-05
1,07E-01;1,71E-02;-1,52E-04
7,34E-02;1,73E-02;-1,13E-04
5,00E-02;1,69E-02;-1,68E-04
