fREQUENCY/hZ;r/oHM;i/oHM
1,00E+04;4,66E-03;-7,20E-03
8,92E+03;4,68E-03;-6,40E-03
7,95E+03;4,67E-03;-5,69E-03
7,09E+03;4,68E-03;-5,04E-03
6,32E+03;4,68E-03;-4,47E-03
5,63E+03;4,68E-03;-3,95E-03
5,02E+03;4,69E-03;-3,49E-03
4,48E+03;4,68E-03;-3,07E-03
3,99E+03;4,70E-03;-2,70E-03
3,56E+03;4,70E-03;-2,36E-03
3,17E+03;4,71E-03;-2,05E-03
2,83E+03;4,72E-03;-1,78E-03
2,52E+03;4,74E-03;-1,53E-03
2,25E+03;4,75E-03;-1,31E-03
2,00E+03;4,77E-03;-1,09E-03
1,79E+03;4,79E-03;-9,00E-04
1,59E+03;4,81E-03;-7,24E-04
1,42E+03;4,82E-03;-5,69E-04
1,27E+03;4,86E-03;-4,06E-04
1,13E+03;4,89E-03;-2,71E-04
1,01E+03;4,91E-03;-1,19E-04
8,97E+02;4,88E-03;5,39E-05
8,00E+02;4,90E-03;1,67E-04
7,13E+02;4,94E-03;2,76E-04
6,36E+02;4,98E-03;3,86E-04
5,67E+02;5,01E-03;4,90E-04
5,05E+02;5,06E-03;6,04E-04
4,51E+02;5,11E-03;7,18E-04
4,02E+02;5,16E-03;8,12E-04
3,58E+02;5,23E-03;9,36E-04
3,19E+02;5,28E-03;1,06E-03
2,85E+02;5,35E-03;1,18E-03
2,54E+02;5,41E-03;1,31E-03
2,26E+02;5,48E-03;1,47E-03
2,02E+02;5,58E-03;1,61E-03
1,80E+02;5,67E-03;1,77E-03
1,60E+02;5,78E-03;1,92E-03
1,43E+02;5,91E-03;2,10E-03
1,27E+02;6,07E-03;2,27E-03
1,14E+02;6,21E-03;2,46E-03
1,01E+02;6,39E-03;2,65E-03
9,03E+01;6,64E-03;2,82E-03
8,05E+01;6,83E-03;3,06E-03
7,18E+01;7,12E-03;3,26E-03
6,40E+01;7,45E-03;3,38E-03
5,69E+01;7,87E-03;3,57E-03
5,05E+01;8,27E-03;3,69E-03
4,47E+01;8,64E-03;3,79E-03
3,94E+01;9,06E-03;3,93E-03
3,46E+01;9,48E-03;3,97E-03
3,03E+01;9,96E-03;4,03E-03
2,64E+01;1,04E-02;4,01E-03
2,30E+01;1,09E-02;3,97E-03
1,99E+01;1,13E-02;3,86E-03
1,71E+01;1,18E-02;3,74E-03
1,47E+01;1,22E-02;3,66E-03
1,25E+01;1,26E-02;3,50E-03
1,06E+01;1,30E-02;3,35E-03
8,98E+00;1,33E-02;3,26E-03
7,53E+00;1,36E-02;3,04E-03
6,27E+00;1,40E-02;2,96E-03
5,18E+00;1,42E-02;2,76E-03
4,25E+00;1,44E-02;2,57E-03
3,45E+00;1,49E-02;2,76E-03
2,78E+00;1,53E-02;2,61E-03
2,21E+00;1,57E-02;2,64E-03
1,74E+00;1,62E-02;2,43E-03
1,36E+00;1,67E-02;2,18E-03
1,04E+00;1,71E-02;1,67E-03
7,89E-01;1,73E-02;1,24E-03
5,88E-01;1,75E-02;8,91E-04
4,32E-01;1,76E-02;6,14E-04
3,12E-01;1,75E-02;3,69E-04
2,22E-01;1,75E-02;1,41E-04
1,55E-01;1,74E-02;-5,47E-05
1,07E-01;1,74E-02;-2,14E-04
7,34E-02;1,71E-02;-2,05E-04
5,00E-02;1,69E-02;-2,95E-04
