fREQUENCY/hZ;r/oHM;i/oHM
1,00E+04;4,75E-03;-7,20E-03
8,92E+03;4,76E-03;-6,40E-03
7,95E+03;4,76E-03;-5,68E-03
7,09E+03;4,75E-03;-5,04E-03
6,32E+03;4,76E-03;-4,47E-03
5,63E+03;4,76E-03;-3,95E-03
5,02E+03;4,75E-03;-3,49E-03
4,48E+03;4,76E-03;-3,06E-03
3,99E+03;4,77E-03;-2,69E-03
3,56E+03;4,78E-03;-2,34E-03
3,17E+03;4,80E-03;-2,04E-03
2,83E+03;4,81E-03;-1,77E-03
2,52E+03;4,83E-03;-1,50E-03
2,25E+03;4,85E-03;-1,28E-03
2,00E+03;4,86E-03;-1,06E-03
1,79E+03;4,88E-03;-8,72E-04
1,59E+03;4,90E-03;-6,94E-04
1,42E+03;4,92E-03;-5,39E-04
1,27E+03;4,94E-03;-3,78E-04
1,13E+03;4,96E-03;-2,37E-04
1,01E+03;4,99E-03;-7,39E-05
8,97E+02;4,95E-03;1,07E-04
8,00E+02;4,99E-03;2,21E-04
7,13E+02;5,03E-03;3,43E-04
6,36E+02;5,07E-03;4,54E-04
5,67E+02;5,11E-03;5,73E-04
5,05E+02;5,15E-03;6,74E-04
4,51E+02;5,21E-03;7,91E-04
4,02E+02;5,26E-03;9,12E-04
3,58E+02;5,30E-03;1,05E-03
3,19E+02;5,38E-03;1,17E-03
2,85E+02;5,42E-03;1,30E-03
2,54E+02;5,48E-03;1,45E-03
2,26E+02;5,54E-03;1,61E-03
2,02E+02;5,62E-03;1,79E-03
1,80E+02;5,73E-03;1,94E-03
1,60E+02;5,81E-03;2,13E-03
1,43E+02;5,88E-03;2,33E-03
1,27E+02;6,04E-03;2,56E-03
1,14E+02;6,18E-03;2,80E-03
1,01E+02;6,34E-03;3,07E-03
9,03E+01;6,52E-03;3,34E-03
8,05E+01;6,74E-03;3,63E-03
7,18E+01;7,01E-03;3,90E-03
6,40E+01;7,34E-03;4,24E-03
5,69E+01;7,80E-03;4,58E-03
5,05E+01;8,22E-03;4,94E-03
4,47E+01;8,68E-03;5,20E-03
3,94E+01;9,20E-03;5,54E-03
3,46E+01;9,78E-03;5,86E-03
3,03E+01;1,04E-02;6,12E-03
2,64E+01;1,12E-02;6,37E-03
2,30E+01;1,20E-02;6,52E-03
1,99E+01;1,28E-02;6,47E-03
1,71E+01;1,39E-02;6,51E-03
1,47E+01;1,46E-02;6,35E-03
1,25E+01;1,54E-02;6,06E-03
1,06E+01;1,62E-02;5,85E-03
8,98E+00;1,69E-02;5,62E-03
7,53E+00;1,76E-02;5,14E-03
6,27E+00;1,81E-02;4,55E-03
5,18E+00;1,87E-02;4,36E-03
4,25E+00;1,93E-02;3,86E-03
3,45E+00;1,96E-02;3,52E-03
2,78E+00;1,97E-02;3,33E-03
2,21E+00;2,00E-02;3,06E-03
1,74E+00;2,04E-02;3,03E-03
1,36E+00;2,07E-02;2,84E-03
1,04E+00;2,14E-02;2,97E-03
7,89E-01;2,20E-02;2,69E-03
5,88E-01;2,27E-02;2,56E-03
4,32E-01;2,31E-02;2,04E-03
3,12E-01;2,36E-02;1,37E-03
2,22E-01;2,35E-02;8,58E-04
1,55E-01;2,37E-02;5,65E-04
1,07E-01;2,37E-02;3,04E-04
7,34E-02;2,38E-02;1,18E-04
5,00E-02;2,38E-02;-1,33E-04
