fREQUENCY/hZ;r/oHM;i/oHM
1,00E+04;4,61E-03;-6,67E-03
8,92E+03;4,60E-03;-5,92E-03
7,95E+03;4,59E-03;-5,26E-03
7,09E+03;4,59E-03;-4,67E-03
6,32E+03;4,59E-03;-4,14E-03
5,63E+03;4,59E-03;-3,66E-03
5,02E+03;4,59E-03;-3,23E-03
4,48E+03;4,60E-03;-2,84E-03
3,99E+03;4,60E-03;-2,49E-03
3,56E+03;4,61E-03;-2,18E-03
3,17E+03;4,62E-03;-1,90E-03
2,83E+03;4,63E-03;-1,64E-03
2,52E+03;4,64E-03;-1,41E-03
2,25E+03;4,66E-03;-1,20E-03
2,00E+03;4,68E-03;-1,00E-03
1,79E+03;4,69E-03;-8,26E-04
1,59E+03;4,71E-03;-6,63E-04
1,42E+03;4,73E-03;-5,11E-04
1,27E+03;4,75E-03;-3,72E-04
1,13E+03;4,77E-03;-2,41E-04
1,01E+03;4,79E-03;-9,68E-05
8,97E+02;4,81E-03;5,15E-05
8,00E+02;4,84E-03;1,60E-04
7,13E+02;4,87E-03;2,69E-04
6,36E+02;4,90E-03;3,69E-04
5,67E+02;4,95E-03;4,73E-04
5,05E+02;4,99E-03;5,76E-04
4,51E+02;5,03E-03;6,84E-04
4,02E+02;5,08E-03;7,81E-04
3,58E+02;5,13E-03;9,01E-04
3,19E+02;5,18E-03;1,01E-03
2,85E+02;5,25E-03;1,14E-03
2,54E+02;5,31E-03;1,26E-03
2,26E+02;5,36E-03;1,40E-03
2,02E+02;5,46E-03;1,55E-03
1,80E+02;5,53E-03;1,70E-03
1,60E+02;5,65E-03;1,85E-03
1,43E+02;5,75E-03;2,02E-03
1,27E+02;5,90E-03;2,20E-03
1,14E+02;6,02E-03;2,37E-03
1,01E+02;6,20E-03;2,57E-03
9,03E+01;6,40E-03;2,76E-03
8,05E+01;6,61E-03;2,96E-03
7,18E+01;6,85E-03;3,14E-03
6,40E+01;7,15E-03;3,33E-03
5,69E+01;7,55E-03;3,55E-03
5,05E+01;7,90E-03;3,75E-03
4,47E+01;8,26E-03;3,90E-03
3,94E+01;8,65E-03;4,04E-03
3,46E+01;9,08E-03;4,21E-03
3,03E+01;9,53E-03;4,25E-03
2,64E+01;1,00E-02;4,35E-03
2,30E+01;1,05E-02;4,41E-03
1,99E+01;1,10E-02;4,41E-03
1,71E+01;1,15E-02;4,40E-03
1,47E+01;1,20E-02;4,35E-03
1,25E+01;1,25E-02;4,28E-03
1,06E+01;1,30E-02;4,25E-03
8,98E+00;1,35E-02;4,04E-03
7,53E+00;1,38E-02;3,95E-03
6,27E+00;1,43E-02;3,87E-03
5,18E+00;1,48E-02;3,89E-03
4,25E+00;1,52E-02;3,93E-03
3,45E+00;1,60E-02;3,93E-03
2,78E+00;1,66E-02;3,81E-03
2,21E+00;1,73E-02;3,47E-03
1,74E+00;1,80E-02;3,11E-03
1,36E+00;1,86E-02;2,58E-03
1,04E+00;1,90E-02;2,02E-03
7,89E-01;1,92E-02;1,52E-03
5,88E-01;1,92E-02;1,03E-03
4,32E-01;1,93E-02;6,58E-04
3,12E-01;1,92E-02;3,99E-04
2,22E-01;1,92E-02;1,43E-04
1,55E-01;1,91E-02;-2,57E-05
1,07E-01;1,91E-02;-1,61E-04
7,34E-02;1,89E-02;-2,28E-04
5,00E-02;1,89E-02;-2,80E-04
