fREQUENCY/hZ;r/oHM;i/oHM
1,00E+04;4,62E-03;-7,13E-03
8,92E+03;4,61E-03;-6,33E-03
7,95E+03;4,60E-03;-5,62E-03
7,09E+03;4,60E-03;-4,99E-03
6,32E+03;4,60E-03;-4,43E-03
5,63E+03;4,60E-03;-3,92E-03
5,02E+03;4,60E-03;-3,46E-03
4,48E+03;4,60E-03;-3,05E-03
3,99E+03;4,61E-03;-2,68E-03
3,56E+03;4,62E-03;-2,35E-03
3,17E+03;4,63E-03;-2,04E-03
2,83E+03;4,64E-03;-1,77E-03
2,52E+03;4,65E-03;-1,52E-03
2,25E+03;4,66E-03;-1,30E-03
2,00E+03;4,68E-03;-1,10E-03
1,79E+03;4,70E-03;-9,09E-04
1,59E+03;4,71E-03;-7,35E-04
1,42E+03;4,74E-03;-5,75E-04
1,27E+03;4,76E-03;-4,29E-04
1,13E+03;4,78E-03;-2,94E-04
1,01E+03;4,80E-03;-1,43E-04
8,97E+02;4,82E-03;1,09E-05
8,00E+02;4,86E-03;1,25E-04
7,13E+02;4,89E-03;2,35E-04
6,36E+02;4,92E-03;3,43E-04
5,67E+02;4,96E-03;4,49E-04
5,05E+02;5,00E-03;5,55E-04
4,51E+02;5,04E-03;6,63E-04
4,02E+02;5,09E-03;7,69E-04
3,58E+02;5,14E-03;8,82E-04
3,19E+02;5,19E-03;9,97E-04
2,85E+02;5,26E-03;1,12E-03
2,54E+02;5,32E-03;1,24E-03
2,26E+02;5,39E-03;1,39E-03
2,02E+02;5,48E-03;1,53E-03
1,80E+02;5,57E-03;1,67E-03
1,60E+02;5,68E-03;1,82E-03
1,43E+02;5,80E-03;1,99E-03
1,27E+02;5,94E-03;2,15E-03
1,14E+02;6,08E-03;2,33E-03
1,01E+02;6,25E-03;2,50E-03
9,03E+01;6,45E-03;2,68E-03
8,05E+01;6,66E-03;2,86E-03
7,18E+01;6,90E-03;3,04E-03
6,40E+01;7,20E-03;3,20E-03
5,69E+01;7,60E-03;3,39E-03
5,05E+01;7,93E-03;3,53E-03
4,47E+01;8,28E-03;3,68E-03
3,94E+01;8,66E-03;3,79E-03
3,46E+01;9,05E-03;3,88E-03
3,03E+01;9,48E-03;3,95E-03
2,64E+01;9,92E-03;3,99E-03
2,30E+01;1,04E-02;4,02E-03
1,99E+01;1,08E-02;4,02E-03
1,71E+01;1,12E-02;4,00E-03
1,47E+01;1,17E-02;3,93E-03
1,25E+01;1,21E-02;3,88E-03
1,06E+01;1,26E-02;3,76E-03
8,98E+00;1,30E-02;3,66E-03
7,53E+00;1,34E-02;3,55E-03
6,27E+00;1,37E-02;3,52E-03
5,18E+00;1,41E-02;3,53E-03
4,25E+00;1,46E-02;3,54E-03
3,45E+00;1,52E-02;3,54E-03
2,78E+00;1,58E-02;3,43E-03
2,21E+00;1,65E-02;3,15E-03
1,74E+00;1,71E-02;2,76E-03
1,36E+00;1,76E-02;2,30E-03
1,04E+00;1,79E-02;1,78E-03
7,89E-01;1,81E-02;1,33E-03
5,88E-01;1,82E-02;9,31E-04
4,32E-01;1,82E-02;5,82E-04
3,12E-01;1,82E-02;2,98E-04
2,22E-01;1,81E-02;8,64E-05
1,55E-01;1,81E-02;-7,67E-05
1,07E-01;1,80E-02;-2,18E-04
7,34E-02;1,78E-02;-2,95E-04
5,00E-02;1,77E-02;-3,48E-04
